Original File:	Z:\Olga\CarbonNanoDots\CNT (22Oct)\CNT 10-Nov-2022\20221110_0008_ureaCA_31_dil200_sen70sh100_c5_size_488.avi	Section:	0.1 [0]
Operator:	ZetaUser
Experiment:	20221110_0008
ZetaVIEW S/N:	21-703
Software:	ZetaView (version 8.05.14 SP7)	Analyze:	8.05.14 SP7
SOP:	<No SOP>
Sample:	ureaCA_31_dil200_sen70sh100_c5
Electrolyte:	H2O
pH:	7.000000	entered
Conductivity:	99.000000	sensed
Temperature:	20.180000	sensed
Viscosity:	1.000774
Date:	2022-11-10
Time:	17:18:39
General Remarks:	
Remarks:	
Sample Remarks0:	
Sample Remarks1:	
Sample Remarks2:
Scattering Intensity:	1.300000
Detected Particles:	47
Particle Drift Checked:	2022-11-10 17:04:10
Particle Drift Check Result:	OK
Cell Checked:	2022-11-10 15:33:46
Cell Check Result:	Very Good
Type of Measurement:	Size Distribution
Microscope Position:	0.099996
Number of Traces:	4713	(at 0.100000)	Average Number of Particles:	114.450000	Dilution::	200.000000
Image Evaluation:
Minimum Brightness:	30
Minimum Area:	10
Maximum Area:	1000
Maximum Brightness:	255
Tracking Radius2:	100
Minimum Tracelength:	45
Begin New Traces:	1
PSD log Correction:	0
Camera:	FpSec 90 #Cycles 10 FRate 30.000000
Gain:	19.200000
Offset:	0.000000
Shutter:	100.000000
Brightness:	NaN
Gamma:	NaN
Auto Exposure:	NaN
Camera Trigger Mode:	Camera Frequency
Camera Trigger Duration mus:	Shutter Duration
Camera Trigger Delay mus:	0
Laser Wavelength nm:	488.000000
Filter Wavelength nm:	Scatter
Position:	0.099996
actual Microscope:	-199447	(Pos	0.099996)
actual Laser:	-185117
Position0 Microscope:	-206817
Position0 Laser:	-194995
Position1 Microscope:	-133114
Position1 Laser:	-96212
Cell Thickness (Microscope Steps):	-73703
Cell Thickness (Laser Steps):	-98783
SL1 (Stationary Layer 1):	0.149500
SL2 (Stationary Layer 2):	0.850500
Cell parameter:
Cell#:	ZNTA
Micrometer per Pixel:	0.713000
Reference Electrode Distance:	5.150000
Voltage:	0.000000
Polarity:	1
Reference Voltage:	0.000000
Microscope Magnification:	x10
ZP Factor:	14.079340 (Smoluchowski)
Results (Pos 0.099996):
Median Number (D50):	234.219650
Median Concentration (D50):	234.219650
Median Volume (D50):	362.831894
Size Distribution
Size / nm	Number	Concentration / cm-3	Volume / nm^3	Area / nm^2
1.500E+1	2.900E+1	3.233E+5	5.125E+4	5.125E+3
4.500E+1	1.410E+2	1.572E+6	6.728E+6	2.243E+5
7.500E+1	1.970E+2	2.196E+6	4.352E+7	8.703E+5
1.050E+2	2.650E+2	2.954E+6	1.606E+8	2.295E+6
1.350E+2	3.510E+2	3.913E+6	4.522E+8	5.024E+6
1.650E+2	4.210E+2	4.694E+6	9.902E+8	9.002E+6
1.950E+2	4.690E+2	5.229E+6	1.821E+9	1.401E+7
2.250E+2	5.140E+2	5.731E+6	3.066E+9	2.044E+7
2.550E+2	5.330E+2	5.942E+6	4.627E+9	2.722E+7
2.850E+2	4.460E+2	4.972E+6	5.406E+9	2.845E+7
3.150E+2	4.250E+2	4.738E+6	6.955E+9	3.312E+7
3.450E+2	3.080E+2	3.434E+6	6.622E+9	2.879E+7
3.750E+2	2.390E+2	2.665E+6	6.599E+9	2.640E+7
4.050E+2	1.380E+2	1.539E+6	4.800E+9	1.778E+7
4.350E+2	8.200E+1	9.142E+5	3.534E+9	1.219E+7
4.650E+2	4.700E+1	5.240E+5	2.474E+9	7.982E+6
4.950E+2	2.900E+1	3.233E+5	1.842E+9	5.581E+6
5.250E+2	1.800E+1	2.007E+5	1.364E+9	3.897E+6
5.550E+2	1.700E+1	1.895E+5	1.522E+9	4.113E+6
5.850E+2	8.000E+0	8.919E+4	8.386E+8	2.150E+6
6.150E+2	4.000E+0	4.460E+4	4.872E+8	1.188E+6
6.450E+2	4.000E+0	4.460E+4	5.620E+8	1.307E+6
6.750E+2	4.000E+0	4.460E+4	6.441E+8	1.431E+6
7.050E+2	4.000E+0	4.460E+4	7.339E+8	1.561E+6
7.350E+2	3.000E+0	3.345E+4	6.237E+8	1.273E+6
7.650E+2	2.000E+0	2.230E+4	4.688E+8	9.193E+5
7.950E+2	3.000E+0	3.345E+4	7.893E+8	1.489E+6
8.250E+2	1.000E+0	1.115E+4	2.940E+8	5.346E+5
8.550E+2	3.000E+0	3.345E+4	9.818E+8	1.722E+6
8.850E+2	0.000E+0	0.000E+0	0.000E+0	0.000E+0
9.150E+2	1.000E+0	1.115E+4	4.011E+8	6.576E+5
9.450E+2	1.000E+0	1.115E+4	4.419E+8	7.014E+5
9.750E+2	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.005E+3	3.000E+0	3.345E+4	1.594E+9	2.380E+6
1.035E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
